q_str,t_str,a_str
怎么解释合同归档超期？,<triple id=782> 合同归档超期	含义	合同已生效，但未归档，以合同生效日期作为跟踪起始点。,<answer id=782> 合同已生效，但未归档，以合同生效日期作为跟踪起始点。
合同归档超期属于什么类型？,<triple id=784> 合同归档超期	类型	业务类,<answer id=784> 业务类
合同归档超期的类别是什么？,<triple id=787> 合同归档超期	类型	业务类,<answer id=787> 业务类
客商准入是哪个部门负责的？,<triple id=790> 客商准入	负责角色	运营中心,<answer id=790> 运营中心
谁负责客商准入？,<triple id=791> 客商准入	负责角色	运营中心,<answer id=791> 运营中心
开立银行账户是哪个部门负责的？,<triple id=792> 开立银行账户	负责角色,<answer id=792>
谁负责物流服务商准入？,<triple id=795> 物流服务商准入	负责角色	欧冶物流,<answer id=795> 欧冶物流
授信管理是哪个部门负责的？,<triple id=796> 授信管理	负责角色	财务部,<answer id=796> 财务部
谁负责授信管理？,<triple id=797> 授信管理	负责角色	财务部,<answer id=797> 财务部
授权管理是哪个部门负责的？,<triple id=798> 授权管理	负责角色	交易事业部、地区公司、运营中心、欧冶物流,<answer id=798> 交易事业部、地区公司、运营中心、欧冶物流
谁负责授权管理？,<triple id=799> 授权管理	负责角色	交易事业部、地区公司、运营中心、欧冶物流,<answer id=799> 交易事业部、地区公司、运营中心、欧冶物流
谁负责三新业务模式审批？,<triple id=801> 三新业务模式审批	负责角色	交易事业部、地区公司、运营中心、欧冶物流、财务部,<answer id=801> 交易事业部、地区公司、运营中心、欧冶物流、财务部
合同年协备案是哪个部门负责的？,<triple id=802> 合同年协备案	负责角色	地区公司,<answer id=802> 地区公司
谁负责合同年协备案？,<triple id=803> 合同年协备案	负责角色	地区公司,<answer id=803> 地区公司
采购计划是哪个部门负责的？,<triple id=804> 采购计划	负责角色	交易事业部、财务部,<answer id=804> 交易事业部、财务部
谁负责购销评审？,<triple id=807> 购销评审	负责角色	运营中心,<answer id=807> 运营中心
合同管理是哪个部门负责的？,<triple id=808> 合同管理	负责角色	运营中心,<answer id=808> 运营中心
谁负责合同管理？,<triple id=809> 合同管理	负责角色	运营中心,<answer id=809> 运营中心
谁负责价格管理？,<triple id=813> 价格管理	负责角色	交易事业部、地区公司、运营中心,<answer id=813> 交易事业部、地区公司、运营中心
印章使用是哪个部门负责的？,<triple id=814> 印章使用	负责角色	欧冶物流、运营中心,<answer id=814> 欧冶物流、运营中心
谁负责估值盯市？,<triple id=817> 估值盯市	负责角色	运营中心,<answer id=817> 运营中心
谁负责资金计划？,<triple id=819> 资金计划	负责角色	地区公司,<answer id=819> 地区公司
付款申请是哪个部门负责的？,<triple id=820> 付款申请	负责角色	运营中心,<answer id=820> 运营中心
谁负责付款申请？,<triple id=821> 付款申请	负责角色	运营中心,<answer id=821> 运营中心
付款审批是哪个部门负责的？,<triple id=822> 付款审批	负责角色	财务部,<answer id=822> 财务部
谁负责付款审批？,<triple id=823> 付款审批	负责角色	财务部,<answer id=823> 财务部
票据是哪个部门负责的？,<triple id=824> 票据	负责角色	供应商、财务部,<answer id=824> 供应商、财务部
谁负责票据？,<triple id=825> 票据	负责角色	供应商、财务部,<answer id=825> 供应商、财务部
收付款控制是哪个部门负责的？,<triple id=826> 收付款控制	负责角色	供应商、财务部,<answer id=826> 供应商、财务部
谁负责收付款控制？,<triple id=827> 收付款控制	负责角色	供应商、财务部,<answer id=827> 供应商、财务部
谁负责货物入库？,<triple id=833> 货物入库	负责角色	欧冶物流,<answer id=833> 欧冶物流
仓库监管是哪个部门负责的？,<triple id=836> 仓库监管	负责角色	欧冶物流、地区公司,<answer id=836> 欧冶物流、地区公司
谁负责仓库监管？,<triple id=837> 仓库监管	负责角色	欧冶物流、地区公司,<answer id=837> 欧冶物流、地区公司
谁负责提货？,<triple id=839> 提货	负责角色	欧冶物流,<answer id=839> 欧冶物流
库存管理是哪个部门负责的？,<triple id=840> 库存管理	负责角色	地区公司,<answer id=840> 地区公司
谁负责采购结算？,<triple id=843> 采购结算	负责角色	运营中心,<answer id=843> 运营中心
销售结算是哪个部门负责的？,<triple id=846> 销售结算	负责角色	运营中心,<answer id=846> 运营中心
谁负责销售结算？,<triple id=847> 销售结算	负责角色	运营中心,<answer id=847> 运营中心
质量异议是哪个部门负责的？,<triple id=848> 质量异议	负责角色	欧冶物流,<answer id=848> 欧冶物流
谁负责质量异议？,<triple id=849> 质量异议	负责角色	欧冶物流,<answer id=849> 欧冶物流
谁负责毛利核算？,<triple id=851> 毛利核算	负责角色	运营中心,<answer id=851> 运营中心
用户对帐是哪个部门负责的？,<triple id=852> 用户对帐	负责角色	运营中心,<answer id=852> 运营中心
谁负责用户对帐？,<triple id=853> 用户对帐	负责角色	运营中心,<answer id=853> 运营中心
档案管理是哪个部门负责的？,<triple id=854> 档案管理	负责角色	运营中心,<answer id=854> 运营中心
谁负责档案管理？,<triple id=855> 档案管理	负责角色	运营中心,<answer id=855> 运营中心
业务准备涉及哪些内容？,<triple id=858> 业务准备	包含	业务洽谈,<answer id=858> 业务洽谈
业务准备包含哪些内容？,<triple id=859> 业务准备	包含	客商准入,<answer id=859> 客商准入
业务准备包括哪些内容？,<triple id=860> 业务准备	包含	客商准入,<answer id=860> 客商准入
业务准备涉及哪些内容？,<triple id=861> 业务准备	包含	客商准入,<answer id=861> 客商准入
业务准备包含哪些内容？,<triple id=862> 业务准备	包含	开立银行账户,<answer id=862> 开立银行账户
业务准备包括哪些内容？,<triple id=863> 业务准备	包含	开立银行账户,<answer id=863> 开立银行账户
业务准备涉及哪些内容？,<triple id=867> 业务准备	包含	物流服务商准入,<answer id=867> 物流服务商准入
业务准备包括哪些内容？,<triple id=869> 业务准备	包含	授信管理,<answer id=869> 授信管理
业务准备包含哪些内容？,<triple id=871> 业务准备	包含	授权管理,<answer id=871> 授权管理
业务准备包括哪些内容？,<triple id=872> 业务准备	包含	授权管理,<answer id=872> 授权管理
业务准备包含哪些内容？,<triple id=874> 业务准备	包含	三新业务模式审批,<answer id=874> 三新业务模式审批
业务准备涉及哪些内容？,<triple id=876> 业务准备	包含	三新业务模式审批,<answer id=876> 三新业务模式审批
业务准备包含哪些内容？,<triple id=877> 业务准备	包含	合同年协备案,<answer id=877> 合同年协备案
业务准备包括哪些内容？,<triple id=878> 业务准备	包含	合同年协备案,<answer id=878> 合同年协备案
购销合同包含哪些内容？,<triple id=880> 购销合同	包含	采购计划,<answer id=880> 采购计划
购销合同涉及哪些内容？,<triple id=882> 购销合同	包含	采购计划,<answer id=882> 采购计划
购销合同包含哪些内容？,<triple id=883> 购销合同	包含	购销评审,<answer id=883> 购销评审
购销合同涉及哪些内容？,<triple id=885> 购销合同	包含	购销评审,<answer id=885> 购销评审
购销合同包含哪些内容？,<triple id=886> 购销合同	包含	合同管理,<answer id=886> 合同管理
购销合同包含哪些内容？,<triple id=889> 购销合同	包含	合同变更,<answer id=889> 合同变更
购销合同包括哪些内容？,<triple id=890> 购销合同	包含	合同变更,<answer id=890> 合同变更
购销合同包含哪些内容？,<triple id=892> 购销合同	包含	价格管理,<answer id=892> 价格管理
购销合同涉及哪些内容？,<triple id=894> 购销合同	包含	价格管理,<answer id=894> 价格管理
购销合同涉及哪些内容？,<triple id=897> 购销合同	包含	印章使用,<answer id=897> 印章使用
购销合同包含哪些内容？,<triple id=898> 购销合同	包含	估值盯市,<answer id=898> 估值盯市
购销合同包括哪些内容？,<triple id=899> 购销合同	包含	估值盯市,<answer id=899> 估值盯市
购销合同涉及哪些内容？,<triple id=900> 购销合同	包含	估值盯市,<answer id=900> 估值盯市
收付款包含哪些内容？,<triple id=901> 收付款	包含	资金计划,<answer id=901> 资金计划
收付款包括哪些内容？,<triple id=902> 收付款	包含	资金计划,<answer id=902> 资金计划
收付款包含哪些内容？,<triple id=904> 收付款	包含	付款申请,<answer id=904> 付款申请
收付款包括哪些内容？,<triple id=905> 收付款	包含	付款申请,<answer id=905> 付款申请
收付款涉及哪些内容？,<triple id=906> 收付款	包含	付款申请,<answer id=906> 付款申请
收付款包含哪些内容？,<triple id=907> 收付款	包含	付款审批,<answer id=907> 付款审批
收付款涉及哪些内容？,<triple id=909> 收付款	包含	付款审批,<answer id=909> 付款审批
收付款包含哪些内容？,<triple id=910> 收付款	包含	票据,<answer id=910> 票据
收付款包括哪些内容？,<triple id=911> 收付款	包含	票据,<answer id=911> 票据
收付款涉及哪些内容？,<triple id=912> 收付款	包含	票据,<answer id=912> 票据
收付款包含哪些内容？,<triple id=913> 收付款	包含	收付款控制,<answer id=913> 收付款控制
收付款包括哪些内容？,<triple id=914> 收付款	包含	收付款控制,<answer id=914> 收付款控制
出入库涉及哪些内容？,<triple id=918> 出入库	包含	钢厂跟单,<answer id=918> 钢厂跟单
出入库包含哪些内容？,<triple id=919> 出入库	包含	在途管控,<answer id=919> 在途管控
出入库包括哪些内容？,<triple id=920> 出入库	包含	在途管控,<answer id=920> 在途管控
出入库包含哪些内容？,<triple id=922> 出入库	包含	货物入库,<answer id=922> 货物入库
出入库包括哪些内容？,<triple id=923> 出入库	包含	货物入库,<answer id=923> 货物入库
出入库涉及哪些内容？,<triple id=924> 出入库	包含	货物入库,<answer id=924> 货物入库
出入库涉及哪些内容？,<triple id=927> 出入库	包含	实物管理,<answer id=927> 实物管理
出入库包含哪些内容？,<triple id=928> 出入库	包含	仓库监管,<answer id=928> 仓库监管
出入库包括哪些内容？,<triple id=932> 出入库	包含	提货,<answer id=932> 提货
出入库包含哪些内容？,<triple id=934> 出入库	包含	库存管理,<answer id=934> 库存管理
出入库涉及哪些内容？,<triple id=936> 出入库	包含	库存管理,<answer id=936> 库存管理
购销结算包含哪些内容？,<triple id=940> 购销结算	包含	折扣,<answer id=940> 折扣
购销结算包括哪些内容？,<triple id=941> 购销结算	包含	折扣,<answer id=941> 折扣
业务完结包含哪些内容？,<triple id=946> 业务完结	包含	质量异议,<answer id=946> 质量异议
业务完结包括哪些内容？,<triple id=947> 业务完结	包含	质量异议,<answer id=947> 质量异议
业务完结包含哪些内容？,<triple id=949> 业务完结	包含	毛利核算,<answer id=949> 毛利核算
业务完结涉及哪些内容？,<triple id=951> 业务完结	包含	毛利核算,<answer id=951> 毛利核算
业务完结涉及哪些内容？,<triple id=954> 业务完结	包含	用户对帐,<answer id=954> 用户对帐
业务完结包含哪些内容？,<triple id=955> 业务完结	包含	档案管理,<answer id=955> 档案管理
业务完结包括哪些内容？,<triple id=956> 业务完结	包含	档案管理,<answer id=956> 档案管理
业务完结涉及哪些内容？,<triple id=957> 业务完结	包含	档案管理,<answer id=957> 档案管理
业务洽谈包含哪些内容？,<triple id=958> 业务洽谈	包含	合规性风险,<answer id=958> 合规性风险
业务洽谈包括哪些内容？,<triple id=959> 业务洽谈	包含	合规性风险,<answer id=959> 合规性风险
业务洽谈涉及哪些内容？,<triple id=960> 业务洽谈	包含	合规性风险,<answer id=960> 合规性风险
业务洽谈包括哪些内容？,<triple id=962> 业务洽谈	包含	业务人员职业素养,<answer id=962> 业务人员职业素养
业务洽谈包含哪些内容？,<triple id=964> 业务洽谈	包含	市场情报收集,<answer id=964> 市场情报收集
业务洽谈涉及哪些内容？,<triple id=966> 业务洽谈	包含	市场情报收集,<answer id=966> 市场情报收集
客商准入包含哪些内容？,<triple id=967> 客商准入	包含	供应商资质及资信材料,<answer id=967> 供应商资质及资信材料
客商准入包含哪些内容？,<triple id=970> 客商准入	包含	统购分销供方准入,<answer id=970> 统购分销供方准入
客商准入涉及哪些内容？,<triple id=972> 客商准入	包含	统购分销供方准入,<answer id=972> 统购分销供方准入
客商准入包括哪些内容？,<triple id=974> 客商准入	包含	客户管理,<answer id=974> 客户管理
客商准入涉及哪些内容？,<triple id=975> 客商准入	包含	客户管理,<answer id=975> 客户管理
客商准入包含哪些内容？,<triple id=976> 客商准入	包含	系统开户,<answer id=976> 系统开户
客商准入涉及哪些内容？,<triple id=978> 客商准入	包含	系统开户,<answer id=978> 系统开户
客商准入包含哪些内容？,<triple id=979> 客商准入	包含	与不良交易对象开展业务,<answer id=979> 与不良交易对象开展业务
客商准入包括哪些内容？,<triple id=980> 客商准入	包含	与不良交易对象开展业务,<answer id=980> 与不良交易对象开展业务
客商准入涉及哪些内容？,<triple id=981> 客商准入	包含	与不良交易对象开展业务,<answer id=981> 与不良交易对象开展业务
客商准入包括哪些内容？,<triple id=983> 客商准入	包含	钢厂货物信息获取,<answer id=983> 钢厂货物信息获取
客商准入涉及哪些内容？,<triple id=984> 客商准入	包含	钢厂货物信息获取,<answer id=984> 钢厂货物信息获取
客商准入涉及哪些内容？,<triple id=987> 客商准入	包含	统购分销供方复评,<answer id=987> 统购分销供方复评
物流服务商准入包含哪些内容？,<triple id=991> 物流服务商准入	包含	仓库准入,<answer id=991> 仓库准入
物流服务商准入包括哪些内容？,<triple id=992> 物流服务商准入	包含	仓库准入,<answer id=992> 仓库准入
物流服务商准入涉及哪些内容？,<triple id=993> 物流服务商准入	包含	仓库准入,<answer id=993> 仓库准入
物流服务商准入包含哪些内容？,<triple id=994> 物流服务商准入	包含	仓库选择,<answer id=994> 仓库选择
物流服务商准入包括哪些内容？,<triple id=995> 物流服务商准入	包含	仓库选择,<answer id=995> 仓库选择
物流服务商准入涉及哪些内容？,<triple id=996> 物流服务商准入	包含	仓库选择,<answer id=996> 仓库选择
物流服务商准入包含哪些内容？,<triple id=997> 物流服务商准入	包含	承运商准入,<answer id=997> 承运商准入
物流服务商准入包括哪些内容？,<triple id=998> 物流服务商准入	包含	承运商准入,<answer id=998> 承运商准入
物流服务商准入包含哪些内容？,<triple id=1000> 物流服务商准入	包含	承运商选择,<answer id=1000> 承运商选择
物流服务商准入涉及哪些内容？,<triple id=1002> 物流服务商准入	包含	承运商选择,<answer id=1002> 承运商选择
授信管理包含哪些内容？,<triple id=1003> 授信管理	包含	交易对象信用风险管理,<answer id=1003> 交易对象信用风险管理
授信管理包括哪些内容？,<triple id=1004> 授信管理	包含	交易对象信用风险管理,<answer id=1004> 交易对象信用风险管理
授信管理包括哪些内容？,<triple id=1007> 授信管理	包含	授信占用和释放的节点,<answer id=1007> 授信占用和释放的节点
授信管理涉及哪些内容？,<triple id=1008> 授信管理	包含	授信占用和释放的节点,<answer id=1008> 授信占用和释放的节点
授权管理包含哪些内容？,<triple id=1009> 授权管理	包含	产品业务系统权限分配,<answer id=1009> 产品业务系统权限分配
授权管理包含哪些内容？,<triple id=1012> 授权管理	包含	交易职责授权,<answer id=1012> 交易职责授权
授权管理包括哪些内容？,<triple id=1013> 授权管理	包含	交易职责授权,<answer id=1013> 交易职责授权
授权管理涉及哪些内容？,<triple id=1014> 授权管理	包含	交易职责授权,<answer id=1014> 交易职责授权
授权管理包含哪些内容？,<triple id=1015> 授权管理	包含	授权签约,<answer id=1015> 授权签约
授权管理包括哪些内容？,<triple id=1016> 授权管理	包含	授权签约,<answer id=1016> 授权签约
三新业务模式审批包括哪些内容？,<triple id=1019> 三新业务模式审批	包含	三新业务开展前的评估审批,<answer id=1019> 三新业务开展前的评估审批
合同年协备案包含哪些内容？,<triple id=1021> 合同年协备案	包含	非标合同条款,<answer id=1021> 非标合同条款
合同年协备案包括哪些内容？,<triple id=1022> 合同年协备案	包含	非标合同条款,<answer id=1022> 非标合同条款
合同年协备案涉及哪些内容？,<triple id=1023> 合同年协备案	包含	非标合同条款,<answer id=1023> 非标合同条款
合同年协备案涉及哪些内容？,<triple id=1026> 合同年协备案	包含	合同条款内容,<answer id=1026> 合同条款内容
合同年协备案涉及哪些内容？,<triple id=1029> 合同年协备案	包含	合同金额约定,<answer id=1029> 合同金额约定
采购计划包含哪些内容？,<triple id=1030> 采购计划	包含	采购计划风险,<answer id=1030> 采购计划风险
购销评审涉及哪些内容？,<triple id=1035> 购销评审	包含	采购复审,<answer id=1035> 采购复审
购销评审包含哪些内容？,<triple id=1036> 购销评审	包含	关联关系,<answer id=1036> 关联关系
购销评审包括哪些内容？,<triple id=1037> 购销评审	包含	关联关系,<answer id=1037> 关联关系
购销评审涉及哪些内容？,<triple id=1038> 购销评审	包含	关联关系,<answer id=1038> 关联关系
购销评审包含哪些内容？,<triple id=1039> 购销评审	包含	采购审批,<answer id=1039> 采购审批
购销评审包括哪些内容？,<triple id=1040> 购销评审	包含	采购审批,<answer id=1040> 采购审批
购销评审涉及哪些内容？,<triple id=1041> 购销评审	包含	采购审批,<answer id=1041> 采购审批
合同管理涉及哪些内容？,<triple id=1044> 合同管理	包含	销售合同签约,<answer id=1044> 销售合同签约
合同管理包含哪些内容？,<triple id=1045> 合同管理	包含	销售合同文本关键用词,<answer id=1045> 销售合同文本关键用词
合同管理涉及哪些内容？,<triple id=1047> 合同管理	包含	销售合同文本关键用词,<answer id=1047> 销售合同文本关键用词
合同变更包含哪些内容？,<triple id=1048> 合同变更	包含	合同变更风险,<answer id=1048> 合同变更风险
合同变更包括哪些内容？,<triple id=1049> 合同变更	包含	合同变更风险,<answer id=1049> 合同变更风险
合同变更涉及哪些内容？,<triple id=1050> 合同变更	包含	合同变更风险,<answer id=1050> 合同变更风险
价格管理包括哪些内容？,<triple id=1055> 价格管理	包含	挂牌价格风险,<answer id=1055> 挂牌价格风险
印章使用包含哪些内容？,<triple id=1057> 印章使用	包含	印章使用风险,<answer id=1057> 印章使用风险
印章使用包括哪些内容？,<triple id=1058> 印章使用	包含	印章使用风险,<answer id=1058> 印章使用风险
估值盯市包括哪些内容？,<triple id=1061> 估值盯市	包含	跌价风险,<answer id=1061> 跌价风险
资金计划包括哪些内容？,<triple id=1064> 资金计划	包含	资金计划风险,<answer id=1064> 资金计划风险
付款申请包含哪些内容？,<triple id=1066> 付款申请	包含	付款申请的发起,<answer id=1066> 付款申请的发起
付款申请涉及哪些内容？,<triple id=1068> 付款申请	包含	付款申请的发起,<answer id=1068> 付款申请的发起
付款申请包含哪些内容？,<triple id=1069> 付款申请	包含	供方自由款及时使用,<answer id=1069> 供方自由款及时使用
付款申请包括哪些内容？,<triple id=1070> 付款申请	包含	供方自由款及时使用,<answer id=1070> 供方自由款及时使用
付款申请涉及哪些内容？,<triple id=1071> 付款申请	包含	供方自由款及时使用,<answer id=1071> 供方自由款及时使用
付款审批包括哪些内容？,<triple id=1073> 付款审批	包含	供应商授信逾期超额,<answer id=1073> 供应商授信逾期超额
付款审批包含哪些内容？,<triple id=1075> 付款审批	包含	采用线下付款方式,<answer id=1075> 采用线下付款方式
付款审批包括哪些内容？,<triple id=1076> 付款审批	包含	采用线下付款方式,<answer id=1076> 采用线下付款方式
付款审批涉及哪些内容？,<triple id=1077> 付款审批	包含	采用线下付款方式,<answer id=1077> 采用线下付款方式
付款审批包括哪些内容？,<triple id=1079> 付款审批	包含	审批及拨付为同一人,<answer id=1079> 审批及拨付为同一人
付款审批包括哪些内容？,<triple id=1082> 付款审批	包含	代收代付资金未取得相关证明,<answer id=1082> 代收代付资金未取得相关证明
付款审批涉及哪些内容？,<triple id=1083> 付款审批	包含	代收代付资金未取得相关证明,<answer id=1083> 代收代付资金未取得相关证明
票据包含哪些内容？,<triple id=1084> 票据	包含	现款和银票混配,<answer id=1084> 现款和银票混配
票据包括哪些内容？,<triple id=1085> 票据	包含	现款和银票混配,<answer id=1085> 现款和银票混配
票据涉及哪些内容？,<triple id=1086> 票据	包含	现款和银票混配,<answer id=1086> 现款和银票混配
票据涉及哪些内容？,<triple id=1089> 票据	包含	票据运作,<answer id=1089> 票据运作
票据涉及哪些内容？,<triple id=1092> 票据	包含	票据折现,<answer id=1092> 票据折现
票据包含哪些内容？,<triple id=1093> 票据	包含	票据收取,<answer id=1093> 票据收取
票据包括哪些内容？,<triple id=1094> 票据	包含	票据收取,<answer id=1094> 票据收取
收付款控制包含哪些内容？,<triple id=1096> 收付款控制	包含	分批付款,<answer id=1096> 分批付款
收付款控制涉及哪些内容？,<triple id=1098> 收付款控制	包含	分批付款,<answer id=1098> 分批付款
收付款控制包括哪些内容？,<triple id=1100> 收付款控制	包含	资金释放,<answer id=1100> 资金释放
钢厂跟单包含哪些内容？,<triple id=1105> 钢厂跟单	包含	钢厂跟单风险,<answer id=1105> 钢厂跟单风险
钢厂跟单包含哪些内容？,<triple id=1108> 钢厂跟单	包含	钢厂超发或欠发,<answer id=1108> 钢厂超发或欠发
钢厂跟单涉及哪些内容？,<triple id=1110> 钢厂跟单	包含	钢厂超发或欠发,<answer id=1110> 钢厂超发或欠发
钢厂跟单包含哪些内容？,<triple id=1111> 钢厂跟单	包含	发货指令传递,<answer id=1111> 发货指令传递
在途管控包含哪些内容？,<triple id=1117> 在途管控	包含	运输环节,<answer id=1117> 运输环节
在途管控包括哪些内容？,<triple id=1118> 在途管控	包含	运输环节,<answer id=1118> 运输环节
在途管控涉及哪些内容？,<triple id=1119> 在途管控	包含	运输环节,<answer id=1119> 运输环节
货物入库包含哪些内容？,<triple id=1120> 货物入库	包含	货物入库风险,<answer id=1120> 货物入库风险
货物入库包括哪些内容？,<triple id=1121> 货物入库	包含	货物入库风险,<answer id=1121> 货物入库风险
仓库监管包含哪些内容？,<triple id=1126> 仓库监管	包含	仓库监管风险,<answer id=1126> 仓库监管风险
仓库监管包括哪些内容？,<triple id=1127> 仓库监管	包含	仓库监管风险,<answer id=1127> 仓库监管风险
仓库监管包括哪些内容？,<triple id=1130> 仓库监管	包含	应急处置,<answer id=1130> 应急处置
仓库监管涉及哪些内容？,<triple id=1131> 仓库监管	包含	应急处置,<answer id=1131> 应急处置
提货包含哪些内容？,<triple id=1132> 提货	包含	货物出库,<answer id=1132> 货物出库
库存管理包含哪些内容？,<triple id=1135> 库存管理	包含	库存超期,<answer id=1135> 库存超期
库存管理包括哪些内容？,<triple id=1136> 库存管理	包含	库存超期,<answer id=1136> 库存超期
采购结算包含哪些内容？,<triple id=1138> 采购结算	包含	结算价格,<answer id=1138> 结算价格
采购结算包括哪些内容？,<triple id=1139> 采购结算	包含	结算价格,<answer id=1139> 结算价格
采购结算包括哪些内容？,<triple id=1142> 采购结算	包含	采购发票,<answer id=1142> 采购发票
采购结算涉及哪些内容？,<triple id=1143> 采购结算	包含	采购发票,<answer id=1143> 采购发票
采购结算包括哪些内容？,<triple id=1145> 采购结算	包含	增值税进销项管理,<answer id=1145> 增值税进销项管理
采购结算涉及哪些内容？,<triple id=1146> 采购结算	包含	增值税进销项管理,<answer id=1146> 增值税进销项管理
采购结算包含哪些内容？,<triple id=1147> 采购结算	包含	采购结算风险,<answer id=1147> 采购结算风险
采购结算涉及哪些内容？,<triple id=1149> 采购结算	包含	采购结算风险,<answer id=1149> 采购结算风险
折扣包括哪些内容？,<triple id=1151> 折扣	包含	采购价差核对,<answer id=1151> 采购价差核对
折扣包括哪些内容？,<triple id=1154> 折扣	包含	客户折扣生成,<answer id=1154> 客户折扣生成
销售结算涉及哪些内容？,<triple id=1158> 销售结算	包含	销售发票结算,<answer id=1158> 销售发票结算
质量异议包含哪些内容？,<triple id=1159> 质量异议	包含	质量异议风险,<answer id=1159> 质量异议风险
质量异议包括哪些内容？,<triple id=1160> 质量异议	包含	质量异议风险,<answer id=1160> 质量异议风险
质量异议涉及哪些内容？,<triple id=1161> 质量异议	包含	质量异议风险,<answer id=1161> 质量异议风险
毛利核算包含哪些内容？,<triple id=1162> 毛利核算	包含	毛利核算风险,<answer id=1162> 毛利核算风险
毛利核算包括哪些内容？,<triple id=1163> 毛利核算	包含	毛利核算风险,<answer id=1163> 毛利核算风险
用户对帐包括哪些内容？,<triple id=1166> 用户对帐	包含	定期对账,<answer id=1166> 定期对账
用户对帐包含哪些内容？,<triple id=1168> 用户对帐	包含	钢厂余款处理,<answer id=1168> 钢厂余款处理
用户对帐涉及哪些内容？,<triple id=1170> 用户对帐	包含	钢厂余款处理,<answer id=1170> 钢厂余款处理
用户对帐包含哪些内容？,<triple id=1171> 用户对帐	包含	客户退款,<answer id=1171> 客户退款
用户对帐包括哪些内容？,<triple id=1172> 用户对帐	包含	客户退款,<answer id=1172> 客户退款
档案管理包含哪些内容？,<triple id=1174> 档案管理	包含	合同结案,<answer id=1174> 合同结案
档案管理涉及哪些内容？,<triple id=1176> 档案管理	包含	合同结案,<answer id=1176> 合同结案
档案管理包含哪些内容？,<triple id=1177> 档案管理	包含	业务归档,<answer id=1177> 业务归档
档案管理包括哪些内容？,<triple id=1178> 档案管理	包含	业务归档,<answer id=1178> 业务归档
入库超期未提的含义是什么？,<triple id=1180> 入库超期未提	含义	限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,<answer id=1180> 限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄
入库超期未提的定义是什么？,<triple id=1181> 入库超期未提	含义	限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,<answer id=1181> 限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄
入库超期未提是什么意思？,<triple id=1182> 入库超期未提	含义	限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,<answer id=1182> 限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄
入库超期未提代表什么？,<triple id=1183> 入库超期未提	含义	限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,<answer id=1183> 限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄
怎么理解入库超期未提？,<triple id=1186> 入库超期未提	含义	限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,<answer id=1186> 限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄
入库超期未提在什么时候会发生红色预警？,<triple id=1187> 入库超期未提	红色预警	1.有去向业务：30天〈有去向超期天数2. 无去向业务：60天«库龄,<answer id=1187> 1.有去向业务：30天〈有去向超期天数2. 无去向业务：60天«库龄
